ticker,CIK,CIK Zeros
AAPL,320193,0000320193
ABBV,1551152,0001551152
ABT,1800,0000001800
ACN,1467373,0001467373
ADBE,796343,0000796343
AIG,5272,0000005272
AMD,2488,0000002488
AMGN,318154,0000318154
AMT,1053507,0001053507
AMZN,1018724,0001018724
AVGO,1730168,0001730168
AXP,4962,0000004962
BA,12927,0000012927
BAC,70858,0000070858
BK,1390777,0001390777
BKNG,1075531,0001075531
BLK,1364742,0001364742
BMY,14272,0000014272
BRK-B,1067983,0001067983
C,831001,0000831001
CAT,18230,0000018230
CHTR,1091667,0001091667
CL,21665,0000021665
CMCSA,1166691,0001166691
COF,927628,0000927628
COP,1163165,0001163165
COST,909832,0000909832
CRM,1108524,0001108524
CSCO,858877,0000858877
CVS,64803,0000064803
CVX,93410,0000093410
DHR,313616,0000313616
DIS,1744489,0001744489
DOW,1751788,0001751788
DUK,1326160,0001326160
EMR,32604,0000032604
EXC,1109357,0001109357
F,37996,0000037996
FDX,1048911,0001048911
GD,40533,0000040533
GE,40545,0000040545
GILD,882095,0000882095
GM,1467858,0001467858
GOOG,1652044,0001652044
GOOGL,1652044,0001652044
GS,886982,0000886982
HD,354950,0000354950
HON,773840,0000773840
IBM,51143,0000051143
INTC,50863,0000050863
JNJ,200406,0000200406
JPM,19617,0000019617
KHC,1637459,0001637459
KO,21344,0000021344
LIN,1707925,0001707925
LLY,59478,0000059478
LMT,936468,0000936468
LOW,60667,0000060667
MA,1141391,0001141391
MCD,63908,0000063908
MDLZ,1103982,0001103982
MDT,1613103,0001613103
MET,1099219,0001099219
META,1326801,0001326801
MMM,66740,0000066740
MO,764180,0000764180
MRK,310158,0000310158
MS,895421,0000895421
MSFT,789019,0000789019
NEE,753308,0000753308
NFLX,1065280,0001065280
NKE,320187,0000320187
NVDA,1045810,0001045810
ORCL,1341439,0001341439
PEP,77476,0000077476
PFE,78003,0000078003
PG,80424,0000080424
PM,1413329,0001413329
PYPL,1633917,0001633917
QCOM,804328,0000804328
RTX,101829,0000101829
SBUX,829224,0000829224
SCHW,316709,0000316709
SO,92122,0000092122
SPG,1063761,0001063761
T,732717,0000732717
TGT,27419,0000027419
TMO,97745,0000097745
TMUS,1283699,0001283699
TSLA,1318605,0001318605
TXN,97476,0000097476
UNH,731766,0000731766
UNP,100885,0000100885
UPS,1090727,0001090727
USB,36104,0000036104
V,1403161,0001403161
VZ,732712,0000732712
WBA,1618921,0001618921
WFC,72971,0000072971
WMT,104169,0000104169
XOM,34088,0000034088
